from	to
1553590_at	ENSG00000274026
227563_at	ENSG00000274026
239657_x_at	ENSG00000281518
239657_x_at	ENSG00000204060
1559514_at	ENSG00000232063
1556844_at	ENSG00000255428
1564257_at	ENSG00000180139
1568838_at	ENSG00000231439
232448_at	ENSG00000260704
215002_at	ENSG00000243716
211996_s_at	ENSG00000243716
215123_at	ENSG00000243716
231989_s_at	ENSG00000243716
244766_at	ENSG00000243716
228117_at	ENSG00000237037
211532_x_at	ENSG00000277885
211532_x_at	ENSG00000275737
211532_x_at	ENSG00000275452
211532_x_at	ENSG00000275253
211532_x_at	ENSG00000274438
211532_x_at	ENSG00000276139
211532_x_at	ENSG00000275583
211532_x_at	ENSG00000276258
211532_x_at	ENSG00000275735
211532_x_at	ENSG00000278300
211532_x_at	ENSG00000274518
211532_x_at	ENSG00000278152
211532_x_at	ENSG00000276425
217318_x_at	ENSG00000277885
217318_x_at	ENSG00000275737
217318_x_at	ENSG00000275452
217318_x_at	ENSG00000275253
217318_x_at	ENSG00000274438
217318_x_at	ENSG00000276139
217318_x_at	ENSG00000275583
217318_x_at	ENSG00000276258
217318_x_at	ENSG00000275735
217318_x_at	ENSG00000278300
217318_x_at	ENSG00000274518
217318_x_at	ENSG00000278152
217318_x_at	ENSG00000276425
229748_x_at	ENSG00000188681
227330_x_at	ENSG00000188681
226558_at	ENSG00000188681
227715_at	ENSG00000188681
236758_at	ENSG00000268994
236758_at	ENSG00000275520
235920_at	ENSG00000131797
238910_at	ENSG00000131797
238527_at	ENSG00000131797
219442_at	ENSG00000131797
234685_x_at	ENSG00000262121
234685_x_at	ENSG00000212722
207086_x_at	ENSG00000227488
206640_x_at	ENSG00000227488
207739_s_at	ENSG00000227488
208155_x_at	ENSG00000227488
215434_x_at	ENSG00000271425
229447_x_at	ENSG00000271425
201103_x_at	ENSG00000271425
213612_x_at	ENSG00000271425
214693_x_at	ENSG00000271425
201104_x_at	ENSG00000271425
226740_x_at	ENSG00000271425
1569519_at	ENSG00000271425
216950_s_at	ENSG00000265531
240441_at	ENSG00000205865
216810_at	ENSG00000240871
222149_x_at	ENSG00000277090
222149_x_at	ENSG00000183629
222149_x_at	ENSG00000278310
222149_x_at	ENSG00000153684
222149_x_at	ENSG00000273651
222149_x_at	ENSG00000276896
1564131_a_at	ENSG00000226913
1555180_at	ENSG00000268472
1558527_at	ENSG00000214106
1569898_a_at	ENSG00000214106
224278_at	ENSG00000214081
228438_at	ENSG00000235531
222205_x_at	ENSG00000154537
215487_x_at	ENSG00000154537
223791_at	ENSG00000154537
216053_x_at	ENSG00000154537
1552607_at	ENSG00000279245
222149_x_at	ENSG00000175676
1556754_at	ENSG00000230417
239590_x_at	ENSG00000223839
231159_at	ENSG00000235699
1568854_at	ENSG00000224843
240731_at	ENSG00000255378
239915_at	ENSG00000254369
224110_at	ENSG00000278873
1560911_at	ENSG00000250632
1569604_at	ENSG00000236423
1569895_at	ENSG00000236423
1564277_a_at	ENSG00000261522
1564280_x_at	ENSG00000261522
1556704_s_at	ENSG00000261522
209772_s_at	ENSG00000272398
266_s_at	ENSG00000272398
208650_s_at	ENSG00000272398
216379_x_at	ENSG00000272398
209771_x_at	ENSG00000272398
208651_x_at	ENSG00000272398
230325_at	ENSG00000231327
1557783_at	ENSG00000267278
232579_at	ENSG00000260231
230799_at	ENSG00000239332
1569270_at	ENSG00000236829
232289_at	ENSG00000260458
207110_at	ENSG00000260458
208567_s_at	ENSG00000260458
222090_at	ENSG00000240889
226396_at	ENSG00000257949
214740_at	ENSG00000267368
216242_x_at	ENSG00000267368
1552622_s_at	ENSG00000267368
1552621_at	ENSG00000267368
222256_s_at	ENSG00000243789
60528_at	ENSG00000243708
219095_at	ENSG00000243708
202455_at	ENSG00000108840
229408_at	ENSG00000108840
236981_at	ENSG00000187997
215549_x_at	ENSG00000285175
215549_x_at	ENSG00000244693
214355_x_at	ENSG00000285175
214355_x_at	ENSG00000244693
1557893_a_at	ENSG00000237119
1557892_at	ENSG00000237119
238241_at	ENSG00000250846
240954_at	ENSG00000205559
238557_at	ENSG00000205559
1556768_at	ENSG00000258647
244431_at	ENSG00000227268
244431_at	ENSG00000283059
217746_s_at	ENSG00000170248
222394_at	ENSG00000170248
222380_s_at	ENSG00000249915
203415_at	ENSG00000249915
222152_at	ENSG00000249915
1568763_s_at	ENSG00000249915
1568764_x_at	ENSG00000249915
1568762_at	ENSG00000249915
1556133_s_at	ENSG00000237675
224258_at	ENSG00000242412
221320_at	ENSG00000137875
236491_at	ENSG00000137875
1565849_a_at	ENSG00000226763
231632_at	ENSG00000204978
228066_at	ENSG00000277303
228066_at	ENSG00000273604
1555372_at	ENSG00000153094
1553088_a_at	ENSG00000153094
222343_at	ENSG00000153094
1558143_a_at	ENSG00000153094
208536_s_at	ENSG00000153094
225606_at	ENSG00000153094
1553096_s_at	ENSG00000153094
223516_s_at	ENSG00000214736
218233_s_at	ENSG00000214736
1562733_at	ENSG00000225194
1557617_at	ENSG00000237737
203320_at	ENSG00000111252
232731_x_at	ENSG00000197291
1564670_at	ENSG00000197291
1559966_a_at	ENSG00000253661
1559965_at	ENSG00000253661
1569670_at	ENSG00000226757
239509_at	ENSG00000275620
206866_at	ENSG00000179242
206866_at	ENSG00000280641
239485_at	ENSG00000179242
239485_at	ENSG00000280641
1563587_at	ENSG00000179242
1563587_at	ENSG00000280641
220227_at	ENSG00000179242
220227_at	ENSG00000280641
205042_at	ENSG00000159921
206946_at	ENSG00000138622
230208_at	ENSG00000138622
221091_at	ENSG00000172410
219889_at	ENSG00000165879
241947_at	ENSG00000247774
204649_at	ENSG00000135451
1568596_a_at	ENSG00000135451
1557491_at	ENSG00000225488
1557493_x_at	ENSG00000225488
221544_s_at	ENSG00000175221
221544_s_at	ENSG00000282092
43544_at	ENSG00000175221
43544_at	ENSG00000282092
221938_x_at	ENSG00000175221
221938_x_at	ENSG00000282092
221418_s_at	ENSG00000175221
221418_s_at	ENSG00000282092
221545_x_at	ENSG00000175221
221545_x_at	ENSG00000282092
209707_at	ENSG00000142892
1555394_at	ENSG00000142892
227639_at	ENSG00000142892
233491_at	ENSG00000204758
1563246_at	ENSG00000234435
1561232_at	ENSG00000249375
1556881_at	ENSG00000214694
229095_s_at	ENSG00000284337
229096_at	ENSG00000284337
208118_x_at	ENSG00000180747
1558534_at	ENSG00000180747
244766_at	ENSG00000180747
231989_s_at	ENSG00000180747
214984_at	ENSG00000180747
205124_at	ENSG00000213999
208534_s_at	ENSG00000170667
212707_s_at	ENSG00000170667
212706_at	ENSG00000170667
210212_x_at	ENSG00000182712
216862_s_at	ENSG00000182712
205106_at	ENSG00000182712
1569315_s_at	ENSG00000235703
232241_at	ENSG00000235703
1559136_s_at	ENSG00000235703
1562839_at	ENSG00000235703
215057_at	ENSG00000235703
244542_at	ENSG00000258057
244543_s_at	ENSG00000258057
230953_at	ENSG00000178836
240767_x_at	ENSG00000232998
233174_at	ENSG00000246089
1556301_at	ENSG00000246089
1553518_at	ENSG00000232039
1555196_at	ENSG00000236834
226340_x_at	ENSG00000181404
231811_at	ENSG00000181404
233929_x_at	ENSG00000181404
225995_x_at	ENSG00000181404
225035_x_at	ENSG00000181404
1557034_s_at	ENSG00000181404
1569086_at	ENSG00000267757
234026_at	ENSG00000267757
222136_x_at	ENSG00000279552
222136_x_at	ENSG00000196350
