Gene,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
HARS2,0.3116280368940904,0.3055601651455737,0.33901989345300154,0.3155022257744162,0.29610771922234763,0.29401451254238425,0.3301043419410879,0.3086702499863093,0.2999731474800502,0.29457053064488525
NUDT12,0.16942736924625612,0.1653303874327905,0.1921483151106147,0.17332215650109517,0.1850637899646041,0.15777330175473048,0.16302909607393384,0.17562773674839482,0.1737780122455937,0.15282345044316029
C7,0.20407767819201206,0.0443038901883574,0.061498565295840364,0.09079651832620983,0.05000125098753227,0.06104672625313568,0.07347800840350333,0.1006083878319804,0.033095298427887464,0.08518601081911617
HMGCS1,0.42083552844049626,0.46492181726846915,0.5042026429080685,0.5179788138334755,0.5239687775435425,0.46371916248441847,0.5081083297090541,0.47816334873841504,0.40713190377237995,0.4306595103170068
HBEGF,0.05467131779269633,0.07606171697294693,0.08527746912443168,0.08767308858719797,0.08488716806911688,0.07273288328820335,0.0914875923160102,0.08189172182598432,0.05336733620354872,0.06192670000556835
LOX,0.32504707767488306,0.3120480633139484,0.31954609583625676,0.36321369963928807,0.3379040820978403,0.240832088185111,0.4546819223756625,0.3667725353178807,0.20271888792923376,0.1259445428331193
SPARC,19.30825809951588,5.919974573861544,7.888737904897241,10.663917805904262,6.842140703172048,6.546629627755504,10.325086435672644,11.422359611731956,3.631766292932122,7.2388332973661145
HMGCR,0.4265866463483296,0.531598267804992,0.5816210255244768,0.6009617816043109,0.5944940627216193,0.5325388658142826,0.5774220916125989,0.5485019559639775,0.4796098582069387,0.5266093191687089
PCDHB3,0.048816015901432516,0.032102052881066316,0.03875911840617692,0.04701726294373044,0.040133797101835095,0.032884940363291745,0.04280288391734983,0.04105715258895892,0.032473371977975535,0.029753889146400606
PDE8B,0.07028980292038745,0.13772059505864798,0.13909357447826765,0.12020939971898771,0.14635339595418853,0.09797186592620813,0.09639635790145729,0.1252763170817488,0.1391351182285554,0.11001624487687416
CLK4,0.30825894017348693,0.2820643644599104,0.2652299617365713,0.28159959956747516,0.25264681580371356,0.2521378132898646,0.29186177811007985,0.27705178620095094,0.28970997471502524,0.25687461972146064
PCDHB15,0.019856731526048547,0.020460832816426317,0.031501376573164534,0.03153817429054251,0.028312889719208128,0.03500020443577853,0.03200990006471527,0.02759598591693591,0.023591864497465788,0.036222621338198785
THBS4,0.15992319280981868,0.035568430428896736,0.05920837310787293,0.08003605616889699,0.04408792812766582,0.0550809925048413,0.061911649213525946,0.08445233007334932,0.031749066751409205,0.07556132887255299
CNOT6,0.12612691739122672,0.1763328356842394,0.21167810823912886,0.19678502071871704,0.19676457190801322,0.17791096685045343,0.20305516732102455,0.18486698348714384,0.16368185624157933,0.15560871563491765
RASGRF2,0.02708264123576643,0.05939066137759609,0.05609977427845292,0.053079315705475125,0.06087891919033643,0.04347867964054721,0.058060315254027245,0.055419489170326165,0.05410635188140798,0.029503872182487366
GABRG2,0.07113877958415249,0.10388786128314001,0.13751916301568112,0.12721178258123853,0.11645400172908618,0.17848879411876414,0.11048126599124707,0.12844050612344834,0.12581625640418284,0.20136861598642547
CDH6,0.3256795425871452,0.19141494195643413,0.2665631905611137,0.2898695195747655,0.21991549199856641,0.21324482450056503,0.17681148848899747,0.261287889783214,0.13255494089683484,0.30267686389667037
ARRDC3,0.8174126898870328,0.671754555939025,0.698793242235267,0.654950597051265,0.664879033405852,0.649017571681304,0.6783106142510307,0.698956032243063,0.6107273390083158,0.6466220330010186
RAD1,0.39420430650105565,0.36552092452023394,0.33828007915554237,0.3492150043386987,0.31124454812268765,0.3301075646112289,0.3906557061901047,0.34928863771590785,0.37176304181832415,0.33612088441910104
BRIX1,0.41803351326661425,0.4708353632835016,0.45282628474988684,0.4291928609143959,0.4206869768030367,0.3576406231458599,0.5186644443134942,0.4426392114217748,0.44186014908361093,0.30422780286930184
SLC12A7,0.520395123510301,0.8365129062180745,0.7924957354841828,0.7623455338427432,0.9205846823840229,0.7575368464219803,0.9566740882706855,0.7690905737699857,0.6448143201925968,0.4870793501537092
PCDH12,0.05713368845657829,0.2539044037189341,0.2313324131307881,0.23878157271259123,0.2704124979490053,0.16656460184554242,0.3422291562586194,0.22878319379448936,0.17018568445839885,0.02810766480219207
NUP155,0.30681526568384926,0.29076510858973426,0.25248575386792194,0.25252188398624326,0.23530175022198352,0.2419611654157854,0.29900773539963343,0.2637048944364273,0.28884687026472944,0.2364248825717531
PPWD1,0.33134344181533926,0.24249181318429808,0.25928995027961643,0.2594100404466754,0.22403980282641855,0.2201792973075948,0.2716261852950772,0.2669197631374595,0.2487484856461118,0.2264428842030619
TRAPPC13,0.1974734522715985,0.22462906551322134,0.24775463257471447,0.24132847930974588,0.24808966431200952,0.2079332919855274,0.22798680881268682,0.23613173843965318,0.21259259834862215,0.20248770419763948
SEC24A,0.1641626494436467,0.13503158043532543,0.1552299856148382,0.14838473116627324,0.15870002261419125,0.1604890444306997,0.14330024536091374,0.14855299654164375,0.13598152622379792,0.15688517682997447
