Gene,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
ENSG00000185101,0.06790257965589286,0.07094893602737634,0.07593283335712624,0.045042963541180626,0.06053884945766859,0.04757791255917581,0.06801232573079552,0.03873926392287764,0.06732239463431727,0.05140410130087879
ENSG00000185112,0.5886277670390506,0.7435674093815855,0.17602198597279484,0.23145655389552972,0.4735032946726957,0.48085319743634714,0.21791952989706936,0.2467190161181346,0.3693725556175739,0.5500857445856624
ENSG00000185163,0.1331086069186025,0.14343885518524446,0.13401112383862276,0.11250574144179716,0.09608389648559945,0.15685852042989956,0.14534186951808925,0.11579245762618401,0.13124256385134225,0.1353853230475612
ENSG00000185176,0.09887810522792462,0.07961476598335375,0.07597464217876233,0.011360155789472286,0.0755282998550183,0.021300157586146024,0.10217148297201516,0.00956762760304431,0.07187664003964891,0.057081651303866894
ENSG00000185187,0.3920553445523007,0.43203006496159607,0.35407998535801566,0.33480623794602954,0.3822878520953745,0.32540476596907186,0.2855247595240204,0.31827558838838754,0.3925254988666468,0.36515885229594797
ENSG00000185201,2.5435804271542444,2.7863327825458324,1.7026990833344806,2.2612077912602393,2.719745765133775,2.2060843417852016,1.217596851793835,1.9998604768226047,1.8508013269446475,2.5290852467486893
ENSG00000185215,0.5137162573892787,0.5728385417918851,0.44495473698916793,0.3328267920814055,0.4130756864479007,0.24633276179694896,0.2852952681533593,0.2214378049908453,0.5174288128049289,0.28029341605245445
ENSG00000185219,0.25307037863547027,0.2733873869872411,0.3047362481112955,0.2437274373469264,0.18317450090509863,0.34755701744237644,0.31285624394263706,0.2827786175928509,0.2925814090872859,0.28429754101154625
ENSG00000185238,0.11038242937403933,0.1089761768657988,0.09802732554250974,0.1053442020609995,0.11797933549601344,0.10240914710857843,0.09854029396614396,0.1052000162059657,0.1006163515727192,0.10247272548004861
ENSG00000185246,0.28881221765460374,0.2767104009809141,0.27607129667195807,0.29171619815545774,0.285708440527449,0.3071089545951192,0.2867829465246199,0.3069241923896506,0.29530636227377116,0.2740151062266951
ENSG00000185272,0.024113523350392855,0.02247680833015598,0.02735280836734747,0.027891023482293324,0.024099175942080452,0.026183673924865983,0.033889992567778526,0.03252501320167146,0.033260566511507286,0.0228634336950087
ENSG00000185291,0.3974661887565096,0.5326951275460217,0.07961896675292275,0.07607687175869064,0.26751538058732705,0.2948200797561388,0.13003672377255307,0.09787775512187748,0.25998624985094504,0.344956601363785
ENSG00000185305,0.2779420997336026,0.2574861327922716,0.29116038938028643,0.2988562176186681,0.2639346354090526,0.31893637895260957,0.2960128775824871,0.32144094566099624,0.3329256233108299,0.24505152120450022
ENSG00000185338,0.0561994444311744,0.06526984035845476,0.10339315833174452,0.09235268778854026,0.09909738490616085,0.08631214779189131,0.07956018347595854,0.1063702213686176,0.07757375442238527,0.08339675994100705
ENSG00000185339,0.13220025664380292,0.1430192197925849,0.19391835169618102,0.15996434115472516,0.1846518531131479,0.1487464253657899,0.15196476000186226,0.18132327236848492,0.17110455030826482,0.14689891654932186
ENSG00000185344,0.39019134834821567,0.47325429333209856,0.6731165902519134,0.9403411397687895,0.4855175498001,0.690994816927877,0.48740736139875496,0.8205484055840891,0.4582018393325884,0.9321348571400854
ENSG00000185352,0.08886279700327976,0.06705165768889168,0.18029023446917058,0.14875220747381346,0.10341992308891229,0.18112139361990462,0.14286802774082888,0.1790964715720575,0.1505401047277145,0.09573044295751626
ENSG00000185386,0.06572647109306554,0.08268669644180371,0.044759346958522156,0.03282307575386441,0.04100784358941222,0.07338001887348986,0.06253953264968747,0.03423392912834088,0.04825968632658016,0.06802547562688929
ENSG00000185420,0.24290276995450205,0.2817179184763633,0.4314771154904642,0.6480144267187552,0.34388444628478065,0.41961621618297057,0.3019735479078336,0.5541409533178094,0.3015736640713377,0.5921957626258745
ENSG00000185477,0.13683505628170323,0.11483711313747955,0.16645245950554802,0.19060444211790245,0.13463851330158483,0.15232815328942184,0.19142024841464517,0.19738552435739642,0.18941695321199625,0.14109109689313423
ENSG00000185479,0.019561076690910544,0.01997416949914506,0.022828757522725774,0.019470137225972392,0.01942184898370309,0.004908308872839822,0.0063107685052433225,0.011496128823125494,0.025633007456331788,0.004491715834602901
ENSG00000185499,1.5392162037154438,1.3038330227183559,1.3463542736415481,0.5076696133143207,1.2917534672096416,0.3381393347858031,1.3437214693676165,0.35119936866791385,1.3416202861444286,0.7668886835235166
