NAME,Description,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000125735,TNFSF14,0.598,0.008,0.057,0.073,0.01,0.122,0.162,0.05,0.018000000000000002,0.027999999999999997,0.0,0.024,0.055,0.027999999999999997
ENSG00000125810,CD93,0.013000000000000001,3.8810000000000002,0.01,0.72,0.006,0.006999999999999999,0.004,0.312,0.013999999999999999,0.01,0.0,0.006,0.006999999999999999,0.862
ENSG00000125910,S1PR4,0.222,0.087,0.013999999999999999,0.10800000000000001,0.258,0.24100000000000002,0.262,0.08199999999999999,0.373,0.39,0.247,0.084,0.434,0.149
ENSG00000125968,ID1,0.087,8.535,0.35,0.07400000000000001,0.026000000000000002,0.053,0.071,0.028999999999999998,0.023,0.055999999999999994,0.038,0.884,0.036000000000000004,0.15
ENSG00000125999,BPIFB1,0.013000000000000001,0.008,0.013000000000000001,0.011000000000000001,0.011000000000000001,0.009000000000000001,0.006,0.008,0.008,0.004,0.01,0.162,0.006999999999999999,0.0
ENSG00000126353,CCR7,0.099,0.026000000000000002,0.033,0.354,1.4869999999999999,0.29600000000000004,0.192,3.04,1.169,2.5660000000000003,3.5469999999999997,0.057999999999999996,0.657,0.121
ENSG00000126803,HSPA2,0.057,0.175,0.26899999999999996,0.032,0.027000000000000003,0.055999999999999994,0.083,0.037000000000000005,0.033,0.026000000000000002,0.008,0.099,0.027999999999999997,0.076
ENSG00000127074,RGS13,0.039,0.002,0.002,0.038,0.055999999999999994,0.005,0.008,0.040999999999999995,0.11199999999999999,0.008,0.013999999999999999,0.061,0.009000000000000001,0.057
ENSG00000127318,IL22,0.006,0.01,0.01,0.012,0.011000000000000001,0.8320000000000001,0.018000000000000002,0.01,0.004,0.03,0.0,0.142,0.038,0.006
ENSG00000127324,TSPAN8,0.037000000000000005,0.057,0.049,0.06,0.037000000000000005,0.055999999999999994,0.052000000000000005,0.049,0.047,0.09699999999999999,0.065,3.662,0.046,0.354
ENSG00000127329,PTPRB,0.013999999999999999,3.475,0.003,0.005,0.004,0.006999999999999999,0.01,0.002,0.005,0.002,0.0,0.011000000000000001,0.006,0.013000000000000001
ENSG00000127533,F2RL3,0.019,1.732,0.025,0.004,0.006,0.003,0.005,0.003,0.004,0.003,0.0,0.006,0.003,0.001
ENSG00000127920,GNG11,0.031,19.561,3.522,0.055,0.081,0.047,0.059000000000000004,0.133,0.057999999999999996,0.034,0.009000000000000001,0.10400000000000001,0.026000000000000002,0.038
ENSG00000127951,FGL2,0.085,0.348,0.10300000000000001,6.553,0.11800000000000001,0.08900000000000001,0.10099999999999999,3.029,0.11199999999999999,0.086,0.024,0.17800000000000002,0.13699999999999998,4.691
ENSG00000127954,STEAP4,0.034,0.172,0.36200000000000004,0.037000000000000005,0.039,0.04,0.025,0.051,0.03,0.018000000000000002,0.009000000000000001,0.106,0.016,0.081
ENSG00000127990,SGCE,0.011000000000000001,0.141,1.35,0.001,0.026000000000000002,0.002,0.006,0.0,0.046,0.0,0.019,0.073,0.003,0.002
ENSG00000128040,SPINK2,0.531,0.016,0.024,0.015,0.037000000000000005,0.20199999999999999,0.48200000000000004,0.013000000000000001,0.04,0.12300000000000001,0.245,0.37,0.044000000000000004,0.031
ENSG00000128052,KDR,0.0,1.8019999999999998,0.009000000000000001,0.001,0.003,0.002,0.003,0.001,0.0,0.0,0.0,0.002,0.003,0.001
ENSG00000128218,VPREB3,0.051,0.022000000000000002,0.024,0.027999999999999997,4.521,0.006,0.013000000000000001,0.038,5.461,0.006999999999999999,0.019,0.11,0.017,0.036000000000000004
ENSG00000128322,IGLL1,0.026000000000000002,0.013999999999999999,0.033,0.015,0.038,0.008,0.011000000000000001,0.01,0.026000000000000002,0.006999999999999999,0.0,1.2690000000000001,0.008,0.017
ENSG00000128342,LIF,0.20600000000000002,0.012,0.24100000000000002,0.012,0.001,0.025,0.009000000000000001,0.013999999999999999,0.0,0.002,0.0,0.07,0.02,0.0
ENSG00000128383,APOBEC3A,0.006999999999999999,0.002,0.001,0.196,0.009000000000000001,0.006,0.011000000000000001,0.031,0.008,0.001,0.009000000000000001,0.018000000000000002,0.006999999999999999,0.0
ENSG00000128567,PODXL,0.005,2.8939999999999997,0.009000000000000001,0.004,0.008,0.005,0.006999999999999999,0.004,0.002,0.006999999999999999,0.0,0.012,0.002,0.013000000000000001
ENSG00000128656,CHN1,0.018000000000000002,0.207,0.316,0.026000000000000002,0.013000000000000001,0.541,0.182,0.011000000000000001,0.035,0.109,0.021,0.062,0.579,0.002
ENSG00000129009,ISLR,0.0,0.091,1.354,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.01,0.0,0.006999999999999999
ENSG00000129226,CD68,0.027000000000000003,0.063,0.239,3.571,0.128,0.02,0.03,0.764,0.031,0.008,0.0,0.195,0.023,0.552
ENSG00000129422,MTUS1,0.016,4.2410000000000005,0.319,0.011000000000000001,0.005,0.027999999999999997,0.023,0.01,0.006,0.051,0.1,0.105,0.02,0.0
ENSG00000129538,RNASE1,0.02,5.624,0.025,0.912,0.012,0.011000000000000001,0.016,0.062,0.013999999999999999,0.003,0.008,0.285,0.012,2.405
ENSG00000130176,CNN1,0.0,0.006999999999999999,1.899,0.002,0.005,0.001,0.001,0.001,0.003,0.002,0.0,0.031,0.003,0.004
ENSG00000130203,APOE,0.0,0.19899999999999998,19.712,7.237,0.024,0.019,0.037000000000000005,0.491,0.009000000000000001,0.021,0.01,0.175,0.03,5.4079999999999995
ENSG00000130208,APOC1,0.006,0.034,1.253,2.819,0.006,0.005,0.006999999999999999,0.462,0.008,0.008,0.0,0.015,0.002,2.693
ENSG00000130222,GADD45G,0.133,0.087,0.565,0.275,0.012,0.171,0.073,0.109,0.015,0.051,0.032,0.087,0.209,0.16399999999999998
ENSG00000130234,ACE2,0.0,0.002,0.003,0.002,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.158,0.002,0.0
