NAME,NK.cells,endothelial.cells,fibroblasts,macrophages,memory.B.cells,memory.CD4.T.cells,memory.CD8.T.cells,myeloid.dendritic.cells,naive.B.cells,naive.CD4.T.cells,naive.CD8.T.cells,others,regulatory.T.cells,monocytes
ENSG00000124191,0.345,0.258,0.045,0.011,0.01,0.087,0.024,0.006999999999999999,0.021,0.061,0.041,0.07,0.405,0.004
ENSG00000124225,0.064,0.35200000000000004,0.5539999999999999,0.051,0.059,0.057,0.055,0.025,0.153,0.057,0.059,0.2,0.03,0.032
ENSG00000124253,0.035,0.027000000000000003,0.032,0.036000000000000004,0.033,0.038,0.029,0.012,0.015,0.026,0.061,2.087,0.012,0.018000000000000002
ENSG00000124406,0.733,0.127,0.055,0.051,0.14300000000000002,0.21,0.508,0.069,0.235,0.313,0.883,0.08199999999999999,0.22,0.0
ENSG00000124440,0.009000000000000001,0.741,0.039,0.004,0.004,0.002,0.008,0.005,0.005,0.004,0.0,0.004,0.005,0.0
ENSG00000124491,0.0,0.003,0.0,0.278,0.0,0.0,0.0,0.016,0.006999999999999999,0.002,0.0,0.011,0.0,0.409
ENSG00000124721,0.001,0.0,0.001,0.003,0.032,0.006,0.002,0.005,0.003,0.008,0.0,0.002,0.129,0.0
ENSG00000124731,0.0,0.0,0.058,0.741,0.002,0.001,0.002,0.193,0.002,0.004,0.0,0.001,0.0,0.665
ENSG00000124766,0.565,1.3,1.3130000000000002,0.494,0.09,0.062,0.233,0.638,0.114,0.409,0.519,0.823,0.35,0.314
ENSG00000124785,0.001,1.406,0.009000000000000001,0.024,0.002,0.003,0.003,0.021,0.0,0.004,0.006,0.064,0.001,0.02
ENSG00000124875,0.003,0.003,3.274,0.012,0.002,0.002,0.002,0.002,0.003,0.005,0.0,0.004,0.003,0.013
ENSG00000124882,0.136,0.021,0.084,3.673,0.009000000000000001,0.025,0.024,1.37,0.017,0.016,0.0,0.048,0.032,3.059
